Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0308 	0.01794	29	5104, 6048, 6864, 7313, 5264, 6226, 6488, 5271, 7333, 5926, 1G12470, 1G15440, 1G30010, 2G18760, 2G32900, 2G39260, 3G04340, 3G06530, 3G09650, 3G16910, 3G19180, 4G00550, 4G21680, 4G23540, 4G36630, 5G20270, 5G47780, 5G52280, 5G55540
S0312 	0.03554	2	1G72280, 5G17230
S0315 	0.05467	6	6198, 6527, 5822, 6924, 3G02260, 3G43300
S0317 	0.04597	10	6384, 6299, 6128, 6378, 1G10910, 4G02030, 4G04350, 4G23940, 5G18525, 5G65950
S0320 	0.01155	25	6864, 6216, 5733, 7331, 5859, 6913, 5791, 5304, 5866, 7296, 5257, 1G80410, 2G28070, 3G01150, 3G10380, 3G15380, 3G27730, 4G21680, 5G03280, 5G19610, 5G35460, 5G38530, 5G40440, 5G47040, 5G51750
S0322 	0.02024	24	6526, 5264, 6405, 5123, 6029, 6572, 1G06560, 1G20560, 1G55250, 2G26170, 2G28780, 2G32900, 2G40770, 3G27670, 3G51930, 4G17090, 4G18950, 4G30790, 5G13530, 5G51750, 5G53480, 5G58750, 5G62130, 5G65990
S0323 	0.04096	3	7111, 6488, 1G10910
S0327 	0.01757	28	5921, 5770, 6406, 7279, 6864, 6298, 6000, 6363, 6977, 5981, 6913, 6447, 6544, 5656, 5257, 1G10910, 1G30010, 1G57770, 1G67120, 3G18524, 3G26410, 3G44880, 4G34310, 5G11380, 5G22510, 5G47780, 5G50210, 5G61560
S0329 	0.00715	16	6393, 5348, 5664, 4744, 6494, 5642, 6527, 5893, 6457, 1G61850, 1G65320, 4G01037, 4G31850, 5G14210, 5G59900, 5G61400
S0331 	0.03024	7	7313, 7021, 4992, 6448, 2G46890, 3G14470, 5G40405
S0335 	0.01106	27	5921, 5220, 5945, 5642, 5634, 5703, 6378, 6458, 5936, 6462, 7021, 6527, 7029, 6636, 5656, 5944, 1G12150, 1G19025, 1G67840, 1G71220, 2G42850, 3G51930, 3G52200, 3G55160, 5G01360, 5G01380, 5G63410
S0345 	0.00984	29	6376, 5206, 7067, 5163, 5326, 6865, 6265, 6128, 6004, 6875, 6488, 6373, 6029, 5866, 5406, 6968, 1G05960, 1G09010, 1G27752, 1G33410, 3G11460, 3G56120, 4G02990, 4G19180, 4G20050, 4G20090, 5G08580, 5G20990, 5G46220
S0346 	0.03111	1	
S0355 	0.0366	2	1G20560, 2G40860
S0371 	0.06018	8	1G65840, 4G08920, 5G06970, 5G37830, 5G40440, 5G50210, 5G51750, 5G55540
S0373 	0.03967	13	6779, 7572, 6041, 4992, 5596, 6029, 6448, 3G14910, 4G02030, 5G45780, 5G47040, 5G49830, 5G60570
S0376 	0.00654	8	4954, 6238, 6029, 1G10910, 1G12470, 2G35920, 2G40840, 5G15540
S0377 	0.01844	15	7279, 7111, 6713, 6552, 5596, 6029, 5271, 1G61850, 1G73960, 3G62130, 5G18525, 5G39710, 5G53480, 5G54830, 5G55540
S0380 	0.03758	7	5335, 6660, 6601, 2G25660, 3G43300, 4G21350, 5G44000
S0381 	0.02164	24	4527, 5945, 7135, 5620, 6488, 5853, 5554, 1G10330, 1G31360, 1G50940, 1G52520, 1G68050, 2G15620, 2G31530, 3G06920, 3G48150, 4G01730, 5G14700, 5G17230, 5G17860, 5G18525, 5G20990, 5G53000, 5G67430
S0383 	0.03478	22	6978, 5273, 7363, 6506, 6282, 5333, 6717, 5866, 5926, 1G68740, 2G16440, 3G09650, 3G18524, 3G58520, 4G02460, 5G07590, 5G22510, 5G24810, 5G49830, 5G51200, 5G53320, 5G66960
S0384 	0.0345	27	6620, 6420, 5273, 5913, 6652, 6164, 6483, 6447, 5791, 5822, 1G05850, 2G37310, 2G39620, 2G40860, 3G06483, 3G10230, 3G19990, 3G27820, 3G29320, 4G16420, 4G31540, 5G16420, 5G19610, 5G40405, 5G60600, 5G63050, 5G63410
S0385 	0.05325	1	
S0400 	0.00804	44	5404, 6393, 5280, 5599, 4744, 6366, 6026, 7325, 6405, 6679, 5449, 6462, 6282, 7021, 6913, 5843, 6883, 5398, 5791, 5271, 6797, 1G12330, 1G48090, 1G55760, 1G60490, 1G63660, 1G68830, 1G70820, 3G01060, 3G03380, 3G18524, 3G55070, 4G17830, 4G29810, 4G30490, 5G13020, 5G22800, 5G23880, 5G24240, 5G25230, 5G35460, 5G35560, 5G46070, 5G60600
S0403sl 	0.0084	21	7136, 5562, 5264, 6128, 6969, 5528, 6398, 1G51720, 1G57770, 1G60490, 2G31530, 3G27870, 4G08150, 5G02480, 5G04480, 5G18700, 5G24810, 5G27970, 5G38530, 5G47040, 5G60450
S0405 	0.0097	53	7602, 5502, 6992, 5280, 7241, 4527, 6825, 5536, 5644, 5642, 7583, 5980, 6679, 6977, 7577, 6462, 4890, 6732, 5188, 5843, 5343, 5656, 5949, 6383, 6954, 5406, 5296, 1G06440, 1G15980, 1G31800, 1G59980, 2G07360, 2G25800, 2G26690, 2G31530, 2G41700, 2G47020, 3G01150, 3G57300, 4G26750, 4G29010, 4G35560, 4G36180, 5G02270, 5G04360, 5G18670, 5G22260, 5G35410, 5G40480, 5G46070, 5G49430, 5G58020, 5G58600
