"Library_ID", "tribe", "genus", "species", "Library_ID2", "sample_in_inclusive_dataset", "sample_in_strict_dataset", "sample_in_superstrict_dataset", "sample_in_superstrict_by_tribe_dataset", "sample_in_ASTRAL_Pro_dataset", "tree_IQ_TREE_supermatrix_concordance_factors", "sample_in_chloroplast_dataset", "collection", "collection_number", "collection_date", "trait_state", "ASTRAL_taxon_occupancy_inclusive", "ASTRAL_taxon_occupancy_strict", "ASTRAL_taxon_occupancy_superstrict", "ASTRAL_taxon_occupancy_superstrict_by_tribe", "ASTRAL_Pro_taxon_occupancy", "type_specimen", "genus_type_species", "calibration", "old_sample", "species_genus_type", "not_species_genus_type", "allele_divergence", "locus_heterozygosity", "nloci", "HybPhaser_bp", "Lineages_Koch_Al_Shehbaz", "Lineages_Franzke_et_al", "Lineages_Nikolov_et_al", "Lineages_unplaced"
"S1181-2", "Lepidieae", "Cyphocardamum", "Cyphocardamum aretioides", "S1181-2", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "E00039815", "1965", "WT, isotype", "970", "956", "265", "588", "5339", "isotype", "Y", "", "", "Cyphocardamum aretioides", "", 4.127, 97.65, 1023, 992763, "I", "I", "I", ""
"S0904", "Cardamineae", "Aplanodes", "Aplanodes doidgeana", "S0904", "Y", "Y", "Y", "Y", "Y", "", "Y", "N", "WAG.1240239", "1998", "T", "654", "650", "178", "293", "4748", "", "Y", "", "", "Aplanodes doidgeana", "", 4.311, 98.56, 693, 755355, "I", "I", "I", ""
"S0733sl", "Cardamineae", "Cardamine", "Cardamine pratensis", "S0733sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "11501", "1966", "T", "922", "906", "254", "230", "5219", "", "Y", "", "", "Cardamine pratensis", "", 1.106, 89.4, 915, 881328, "I", "I", "I", ""
"S0593", "Cardamineae", "Nasturtium", "Nasturtium officinale", "S0593", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "L.3767836", "1955", "T", "952", "943", "265", "506", "5435", "", "Y", "", "", "Nasturtium officinale", "", 3.591, 87.5, 1024, 976086, "I", "I", "I", ""
"S0671", "Cardamineae", "Armoracia", "Armoracia rusticana", "S0671", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "KM1535", "", "T", "970", "964", "279", "67", "5743", "", "Y", "", "", "Armoracia rusticana", "", 3.993, 96.58, 1023, 1063902, "I", "I", "I", ""
"S0298", "Cardamineae", "Iodanthus", "Iodanthus pinnatifidus", "S0298", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "Lowden 5048", "1993", "T", "975", "973", "282", "255", "5880", "", "Y", "", "", "Iodanthus pinnatifidus", "", 5.459, 98.94, 1036, 1058793, "I", "I", "I", ""
"S0734sl", "Cardamineae", "Barbarea", "Barbarea vulgaris", "S0734sl", "Y", "", "", "", "Y", "Y", "", "", "27005", "2018", "T", "380", NA, NA, NA, "2169", "", "Y", "", "", "Barbarea vulgaris", "", 0.163, 22.3, 426, 204897, "I", "I", "I", ""
"S1541sl", "Cardamineae", "Ornithocarpa", "Ornithocarpa fimbriata", "S1541sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "4084118", "1990", "T", "982", "977", "280", "537", "5770", "", "Y", "", "", "Ornithocarpa fimbriata", "", 4.351, 93.86, 1059, 1034760, "I", "I", "I", ""
"S0893", "Cardamineae", "Selenia", "Selenia aurea", "S0893", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "WAG.1471065", "1969", "T", "661", "650", "177", "308", "3884", "", "Y", "", "", "Selenia aurea", "", 2.079, 90.33, 703, 749085, "I", "I", "I", ""
"S1276", "Cardamineae", "Leavenworthia", "Leavenworthia aurea", "S1276", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "83019", "2008", "T", "969", "947", "271", "511", "5661", "", "Y", "", "", "Leavenworthia aurea", "", 4.012, 96.35, 985, 1056444, "I", "I", "I", ""
"SRR8528391", "Cardamineae", "Andrzeiowskia", "Andrzeiowskia cardamine", "SRR8528391", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "723", "729", "199", "218", "4555", "", "Y", "", "", "Andrzeiowskia cardamine", "", 0.044, 25.34, 742, 919329, "I", "I", "I", ""
"S0427", "Cardamineae", "Planodes", "Planodes virginicum", "S0427", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "4931575", "1998", "T", "994", "992", "285", "519", "5616", "", "Y", "", "", "Planodes virginicum", "", 0.05, 23.54, 1007, 1131333, "I", "I", "I", ""
"S0672", "Cardamineae", "Rorippa", "Rorippa sylvestris", "S0672", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "18646", "2008", "T", "940", "939", "264", "63", "5406", "", "Y", "", "", "Rorippa sylvestris", "", 2.181, 97.16, 952, 1096467, "I", "I", "I", ""
"S0376", "Cardamineae", "Sisymbrella", "Sisymbrella aspera", "S0376", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "B 10 0184692", "1980", "T", "930", "926", "258", "234", "5326", "", "Y", "", "", "Sisymbrella aspera", "", 0.239, 63.48, 931, 935715, "I", "I", "I", ""
"S0717", "Stevenieae", "Stevenia", "Stevenia alyssoides", "S0717", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "04-0291-50-00", "", "T", "905", "897", "253", "64", "5763", "", "Y", "", "", "Stevenia alyssoides", "", 3.35, 92.01, 964, 1044036, "I", "I", "IV", ""
"S0722", "Stevenieae", "Macropodium", "Macropodium nivale", "S0722", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "18806", "2008", "T", "948", "938", "267", "70", "6963", "", "Y", "", "", "Macropodium nivale", "", 5.149, 91.49, 1022, 1054740, "I", "I", "IV", ""
"S0329", "Biscutelleae", "Megadenia", "Megadenia pygmaea", "S0329", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Ho, Bartholomew, & Gilbert 837", "1993", "T", "907", "907", "259", "235", "5552", "", "Y", "", "", "Megadenia pygmaea", "", 0.073, 24.16, 927, 1050561, "II", "exp.II", "", "Biscutelleae"
"SRR8528338", "Biscutelleae", "Heldreichia", "Heldreichia bupleurifolia", "SRR8528338", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "731", "735", "199", "548", "4896", "", "Y", "", "", "Heldreichia bupleurifolia", "", 0.235, 63.45, 747, 926364, "II", "exp.II", "", "Biscutelleae"
"S0560", "Biscutelleae", "Biscutella", "Biscutella didyma", "S0560", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "WAG.8002349", "2002", "T", "783", "768", "205", "410", "4939", "", "Y", "", "", "Biscutella didyma", "", 2.367, 57.49, 835, 935385, "II", "exp.II", "", "Biscutelleae"
"SRR8528382", "Biscutelleae", "Lunaria", "Lunaria rediviva", "SRR8528382", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "", "", "T", "699", "697", "188", "206", "5871", "", "Y", "", "", "Lunaria rediviva", "", 4.661, 79.71, 749, 855945, "II", "exp.II", "", "Biscutelleae"
"S1077", "Biscutelleae", "Ricotia", "Ricotia aucheri", "S1077", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "zdo_ru 3559", "2014", "C", "911", "905", "254", "770", "5942", "", "", "Y", "", "", "Ricotia aucheri", 1.131, 92.01, 814, 1035372, "II", "exp.II", "", "Biscutelleae"
"SRR8528399", "Biscutelleae", "Ricotia", "Ricotia cretica", "SRR8528399", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "", "", "C", "700", "701", "194", "212", "5024", "", "", "Y", "", "", "Ricotia cretica", 3.087, 87.43, 748, 867075, "II", "exp.II", "", "Biscutelleae"
"S0746", "Biscutelleae", "Ricotia", "Ricotia lunaria", "S0746", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "8002379", "", "T", "951", "949", "269", "234", "6325", "", "Y", "", "", "Ricotia lunaria", "", 3.353, 77.27, 1012, 1087629, "II", "exp.II", "", "Biscutelleae"
"S1074", "Biscutelleae", "Ricotia", "Ricotia sinuata", "S1074", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "zdo_ru 3501", "2014", "C", "974", "968", "277", "825", "6445", "", "", "Y", "", "", "Ricotia sinuata", 3.878, 91.42, 1037, 1089504, "II", "exp.II", "", "Biscutelleae"
"S0890", "Aethionemeae", "Aethionema", "Aethionema erinaceum", "S0890", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "WAG.0004278", "1842", "W", "693", "666", "184", "111", "4482", "", "", "", "Y", "", "Aethionema erinaceum", 1.89, 78.4, 727, 613185, "basal", "basal", "basal", ""
"S1100", "Aethionemeae", "Aethionema", "Aethionema maraschicum", "S1100", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "", "K000484211", "1957", "W, isotype", "898", "860", "249", "741", "5747", "isotype", "", "", "", "", "Aethionema maraschicum", 0.276, 52.39, 901, 988170, "basal", "basal", "basal", ""
"S1184", "Aethionemeae", "Aethionema", "Aethionema demirizii", "S1184", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "", "E00199849", "1951", "W, holotype", "842", "803", "233", "500", "5513", "holotype", "", "", "", "", "Aethionema demirizii", 1.505, 92.52, 856, 922092, "basal", "basal", "basal", ""
"S1261", "Aethionemeae", "Aethionema", "Aethionema orbiculatum", "S1261", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Z-000034855", "1891", "W", "818", "784", "220", "267", "5187", "", "", "", "Y", "", "Aethionema orbiculatum", 3.724, 85.41, 857, 862221, "basal", "basal", "basal", ""
