Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S0953,Alysseae,Hormathophylla,reverchonii,Hormathophylla reverchonii,II,exp.II,IV,W,,,,"Christian Bräuchler, Heimo Rainer",W0112420,??/06/1991,1991,L. Keller,T.R. Dudley,Spain,"Jaen, Sierra de Cabrilla",https://www.jacq.org/detail.php?ID=1663802,
S0953-2,Alysseae,Hormathophylla,reverchonii,Hormathophylla reverchonii,II,exp.II,IV,W,,,,"Christian Bräuchler, Heimo Rainer",W0112420,??/06/1991,1991,L. Keller,T.R. Dudley,Spain,"Jaen, Sierra de Cabrilla",https://www.jacq.org/detail.php?ID=1663802,
S1519,Alysseae,Hormathophylla,reverchonii,Hormathophylla reverchonii,II,exp.II,IV,RMNH,,Ptilotrichum reverchonii,AMD,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",AMD.49780,??/05/1907,1907,E. Reverchon,,Spain,"Province de Jaen, Sierra Malessa, rochers escarpis et calcarais",https://www.gbif.org/occurrence/2513029402,
S0962,Alysseae,Irania,umbellata,Irania umbellata,II,exp.II,IV,W,,,,"Christian Bräuchler, Heimo Rainer",W0112417,28272,1977,"Arayvand, Edmondson, Miller",I. Al-Shehbaz,Iran,"Province Yazd, Khormiz",https://www.jacq.org/detail.php?ID=1663794,
S0962-2,Alysseae,Irania,umbellata,Irania umbellata,II,exp.II,IV,W,,,,"Christian Bräuchler, Heimo Rainer",W0112417,28272,1977,"Arayvand, Edmondson, Miller",I. Al-Shehbaz,Iran,"Province Yazd, Khormiz",https://www.jacq.org/detail.php?ID=1663794,
S1409,Alysseae,Irania,umbellata,Irania umbellata,II,exp.II,IV,RMNH,,Fibigia umbellata,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1751666,08/07/1842,1842,K.G.T. Kotschy,F.M. Muller,Iran,Pl. Pers. austr. Alpis Kuh-Daëna,https://www.gbif.org/occurrence/2517653835,Isotype
S0355,Alysseae,Lutzia,cretica,Lutzia cretica,II,exp.II,IV,MO,,Alyssoides cretica,MO,Ihsan Al-Shehbaz,Strudl & Pokorny s.n.,30057,1982,unknown,,Greece,"Crete, Heraklion",,
S1114,Anastaticeae,Diceratella,floccosa,Diceratella floccosa,II,exp.II,,P,,,,Vanessa Invernon,P04626322,??/??/1961,1961,G. Remaudiere,I. Al-Shehbaz,Iran,Minab,,
S1114-2,Anastaticeae,Diceratella,floccosa,Diceratella floccosa,II,exp.II,,P,,,,Vanessa Invernon,P04626322,??/??/1961,1961,G. Remaudiere,I. Al-Shehbaz,Iran,Minab,,
S0356,Anastaticeae,Farsetia,aegyptia,Farsetia aegyptia,II,exp.II,,ETH,,,,Sileshi Nemomissa,ETH002007,30056,1982,,,,,,
S0691,Anastaticeae,Farsetia,aegyptia,Farsetia aegyptia,II,exp.II,,BR<BEL>,,,,Steven Janssens,BR0030302136,17/03/982,1982,"O.J. Salmeen, R. Jalili",,Kuwait,Burgan Hill,,
S0655,Anastaticeae,Lachnocapsa,spathulata,Lachnocapsa spathulata,II,exp.II,,B,,,,Klaus Mummenhoff,B 10 0181495,unknown,,"Kilian, Hein, Kürschner YP 3719",,Yemen,"Socotra, Maàla plateau",,
