"","bait_set","mean_SNP_prop","Mean","S.D.","n"
"1","A353","<=0.02",48.3351828828647,42.3614525979357,125
"2","A353",">0.02",59.9408670329676,44.841209945587,191
"3","B764","<=0.02",92.8432308544317,120.232733913721,185
"4","B764",">0.02",83.7797899024446,81.4463231293675,438
