Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: none
None!
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0405 	0.01138	87	4757, 6110, 5404, 6738, 5502, 5318, 5348, 6992, 5280, 5913, 7241, 5463, 5434, 5477, 5990, 6298, 4527, 5802, 6825, 6003, 5513, 5536, 5644, 6139, 5642, 5841, 6198, 6977, 7577, 5328, 5744, 6462, 4890, 6713, 6732, 6282, 6320, 7021, 4989, 5188, 5843, 4793, 6636, 5656, 5919, 4951, 5464, 5406, 5296, 1G06440, 1G16770, 1G33410, 1G50200, 1G58120, 1G59980, 1G60490, 1G70260, 2G07360, 2G25800, 2G26690, 2G41700, 2G43770, 2G46370, 2G47020, 3G11460, 3G23020, 3G52940, 3G53180, 3G55070, 3G57300, 4G22720, 4G24830, 4G26750, 4G35560, 4G36180, 5G02270, 5G17530, 5G20350, 5G22260, 5G23880, 5G26820, 5G36880, 5G40480, 5G46070, 5G54570, 5G58020, 5G58600
S0407sl 	0.0393	33	6780, 6738, 6376, 5280, 6487, 7324, 5434, 4954, 5357, 5821, 6494, 5922, 6961, 4796, 5123, 6373, 5893, 5857, 1G04730, 1G05850, 2G26780, 2G37310, 2G47020, 3G03380, 3G05350, 3G48150, 4G24190, 4G28220, 5G05680, 5G08280, 5G27970, 5G46100, 5G58470
S0412sl 	0.015	76	5200, 5318, 6450, 6459, 6048, 6034, 7313, 6050, 5463, 5326, 5639, 5899, 6003, 5536, 5018, 6958, 6405, 6649, 6226, 7194, 5858, 5958, 5299, 7577, 5950, 6462, 7367, 6552, 4793, 5893, 5469, 6383, 6284, 5355, 5464, 5926, 4848, 1G02860, 1G04690, 1G06590, 1G19025, 1G20080, 1G27760, 1G52760, 1G60490, 1G61850, 1G75200, 2G22120, 2G40070, 2G40890, 2G43770, 3G11540, 3G12590, 3G44880, 3G48380, 3G50660, 3G53180, 3G54690, 3G55580, 4G18950, 4G20070, 4G22720, 4G26750, 4G36790, 5G02480, 5G08030, 5G14510, 5G15880, 5G18830, 5G21990, 5G46220, 5G48270, 5G52850, 5G53000, 5G60790, 5G66960
S0416 	0.03414	102	4889, 5404, 5578, 5816, 5318, 5664, 5280, 6498, 4691, 5960, 5339, 6048, 6882, 5463, 5434, 5477, 5090, 4527, 5945, 6500, 6689, 6496, 6003, 6955, 5644, 5842, 5642, 6531, 6128, 5841, 5299, 6565, 5744, 4890, 6282, 4989, 4992, 5188, 6447, 6685, 6791, 5354, 4793, 6407, 5469, 5944, 5355, 5464, 6968, 5296, 1G05960, 1G07590, 1G09870, 1G10330, 1G15440, 1G27752, 1G27760, 1G47380, 1G53270, 2G31530, 2G32590, 2G32900, 2G37310, 2G37320, 2G40860, 2G43770, 2G47020, 3G01150, 3G04480, 3G07140, 3G10700, 3G18524, 3G18730, 3G19180, 3G24170, 3G52940, 3G53180, 3G54690, 3G55070, 4G02990, 4G05090, 4G19460, 4G20070, 4G21350, 4G22720, 4G27790, 4G29810, 4G30600, 4G32910, 4G35880, 4G39470, 5G03430, 5G11330, 5G18670, 5G20170, 5G22260, 5G35410, 5G40405, 5G44000, 5G58020, 5G60750, 5G64270
S0417 	0.027	97	4757, 5404, 4932, 5280, 4471, 6498, 5138, 5163, 5434, 6859, 5090, 6366, 6026, 5357, 5899, 6689, 6667, 6860, 6909, 5644, 5018, 5842, 5858, 5865, 5699, 5744, 6119, 6282, 5188, 7628, 6791, 5620, 5333, 4793, 6227, 6274, 5464, 7128, 5296, 1G02970, 1G09010, 1G10385, 1G49820, 1G60490, 1G61850, 1G63660, 1G67120, 1G71220, 2G15620, 2G32290, 2G37230, 2G41700, 2G43770, 2G45500, 2G46060, 2G47020, 3G01060, 3G03380, 3G03710, 3G05350, 3G06860, 3G20920, 3G26700, 3G48820, 3G55580, 4G01570, 4G02460, 4G04350, 4G05090, 4G17090, 4G18830, 4G20060, 4G21350, 4G24190, 4G26090, 4G28220, 4G33440, 4G34350, 4G35850, 4G38010, 5G04360, 5G04710, 5G11330, 5G15400, 5G16280, 5G22750, 5G40820, 5G46070, 5G46100, 5G46220, 5G47010, 5G48520, 5G53970, 5G54260, 5G60020, 5G61400, 5G63420
S0419 	0.02138	80	4757, 4889, 7602, 5578, 6376, 5318, 5177, 6148, 6992, 6498, 5913, 6979, 6034, 6882, 5463, 5477, 5733, 5945, 5660, 5422, 6909, 5841, 5430, 5858, 5299, 5936, 5744, 4890, 6051, 6282, 6320, 4992, 5188, 6969, 7029, 6430, 4793, 5469, 5857, 5464, 5406, 5721, 1G02970, 1G06560, 1G06590, 1G10780, 1G19025, 1G30440, 1G51550, 1G52760, 1G63160, 1G73180, 1G79560, 1G80410, 2G25660, 2G31530, 2G43770, 3G14910, 3G20630, 3G25430, 3G25660, 3G53180, 3G54690, 3G57300, 3G60830, 4G01320, 4G04350, 4G17370, 4G17380, 4G18830, 4G21350, 4G22720, 4G24220, 5G02480, 5G12900, 5G18670, 5G20350, 5G22030, 5G60020, 5G63010
S0420sl 	0.09416	55	5578, 5280, 5206, 5131, 5945, 5357, 5821, 5430, 5815, 6098, 4890, 6883, 6274, 1G02860, 1G05850, 1G06590, 1G25500, 1G68830, 1G74460, 1G80410, 2G17760, 2G26930, 2G27590, 2G32040, 2G32590, 2G35610, 2G39730, 2G39970, 2G42490, 3G01100, 3G08950, 3G08960, 3G13490, 3G24170, 3G25430, 3G25660, 3G48820, 3G51470, 3G55070, 4G02780, 4G17090, 4G18010, 4G21680, 4G24190, 5G08310, 5G08490, 5G13640, 5G17860, 5G19350, 5G19690, 5G20350, 5G20890, 5G22850, 5G58230, 5G60980
S0421 	0.06157	48	5404, 6848, 6148, 5280, 6498, 6914, 6048, 5945, 6500, 5357, 6496, 6825, 7325, 5841, 5430, 5449, 6947, 1G12330, 1G16070, 1G16720, 1G20080, 1G52760, 1G61850, 1G68570, 1G76730, 2G16880, 2G26800, 2G26930, 2G31530, 2G43235, 2G43770, 2G47020, 3G11964, 3G25430, 3G56310, 4G02460, 4G17090, 4G18950, 4G24190, 4G34350, 5G04360, 5G14230, 5G23050, 5G46220, 5G53580, 5G53970, 5G58940, 5G60020
S0424 	0.05834	28	1G02860, 1G04730, 1G10330, 1G49820, 2G26930, 2G43770, 2G45500, 2G47020, 3G03380, 3G11964, 4G01570, 4G02460, 4G17090, 4G18830, 4G21350, 4G28220, 4G31770, 5G04710, 5G15400, 5G15880, 5G20170, 5G20990, 5G22850, 5G39710, 5G46070, 5G51970, 5G53000, 5G63840
S0427 	0.01286	50	4757, 5366, 5670, 6384, 5318, 5348, 6498, 5913, 5339, 5870, 5463, 5477, 5990, 6026, 5357, 5899, 5894, 6003, 5842, 5841, 5299, 6565, 6098, 5936, 5744, 6320, 5354, 4793, 5949, 5464, 6797, 1G11000, 1G67120, 2G40890, 3G03710, 3G27730, 3G53180, 4G17830, 4G22720, 4G34260, 4G35870, 4G39470, 5G18670, 5G21970, 5G36880, 5G39710, 5G40480, 5G40740, 5G60980, 5G63840
S0428sl 	0.05163	44	5404, 6376, 5816, 5702, 6404, 6298, 6366, 6496, 5840, 5644, 7331, 6139, 5922, 6405, 6128, 6458, 4992, 6570, 5188, 6552, 4806, 5772, 6227, 5464, 1G16570, 1G49820, 1G50200, 1G63660, 1G65840, 2G26930, 2G38510, 2G47020, 3G17640, 3G55070, 4G02460, 4G16570, 4G21350, 4G30490, 5G05840, 5G08660, 5G20990, 5G26570, 5G53970, 5G63010
S0430 	0.0345	62	6995, 5200, 5366, 5670, 6376, 6176, 4471, 5434, 5090, 6639, 4954, 4527, 6270, 6258, 6860, 7325, 6128, 6051, 6570, 5188, 5333, 5822, 6295, 1G02420, 1G04110, 1G06270, 1G06560, 1G12150, 1G16570, 1G31360, 1G52760, 1G75200, 2G20050, 2G35040, 2G38000, 2G39830, 2G40760, 2G47790, 3G02130, 3G06270, 3G06860, 3G16270, 3G17810, 3G18524, 3G20260, 4G05090, 4G16570, 4G17370, 4G18830, 4G21770, 5G02270, 5G04710, 5G14700, 5G19180, 5G20350, 5G20890, 5G26570, 5G56580, 5G60600, 5G61400, 5G61865, 5G64270
S0435 	0.11228	15	5318, 4744, 4890, 4989, 6733, 5857, 5464, 2G37310, 2G37320, 3G53180, 4G11120, 4G24830, 4G33760, 5G20350, 5G44000
S0436 	0.11167	46	6110, 6450, 5347, 6003, 5422, 1G10780, 1G12330, 1G15740, 1G20560, 1G27760, 1G55270, 1G55760, 1G63160, 1G72970, 1G80460, 2G20190, 2G43235, 2G46370, 3G03210, 3G08950, 3G10230, 3G12280, 3G17810, 3G55070, 4G17090, 4G18340, 4G19180, 4G19460, 4G30790, 4G31540, 4G34260, 4G35760, 5G01360, 5G01380, 5G04930, 5G08280, 5G08530, 5G11390, 5G14450, 5G18670, 5G19680, 5G20270, 5G23300, 5G46070, 5G58330, 5G60020
S0450 	0.17034	0	
S0464 	0.20542	0	
S0478 	0.02832	69	6933, 5366, 5404, 6738, 6376, 7141, 5280, 5104, 5702, 6492, 6779, 5434, 6506, 4527, 6366, 6500, 5357, 5454, 6909, 5644, 6004, 5858, 5328, 5744, 5449, 4890, 6051, 6570, 5188, 5620, 4793, 5949, 6401, 6274, 5304, 5721, 1G01770, 1G07590, 1G13970, 1G16570, 1G50200, 1G63660, 1G68740, 2G15620, 2G16880, 2G17510, 2G38000, 2G41670, 2G43770, 2G47020, 3G03380, 3G06880, 3G48820, 4G02460, 4G16570, 4G17090, 4G24190, 4G24830, 4G34310, 5G11390, 5G14210, 5G15880, 5G21990, 5G26570, 5G40480, 5G46070, 5G46220, 5G47010, 5G63010
S0509 	0.17656	0	
S0512sl 	0.07449	21	4889, 6738, 7067, 6050, 6238, 6270, 6003, 6128, 5430, 5744, 5355, 6792, 5296, 1G06270, 1G70820, 3G06270, 3G15550, 3G16270, 3G25430, 4G09140, 4G37030
S0521 	0.1244	19	4757, 5318, 6050, 5942, 5910, 5842, 5430, 1G05910, 1G10330, 1G52760, 1G55910, 1G69860, 2G33770, 2G34960, 2G43770, 3G25430, 3G53180, 5G35410, 5G51750
S0547 	0.08906	28	4757, 5578, 5502, 5318, 5434, 5945, 4890, 6448, 6284, 5464, 5721, 1G16770, 1G58120, 1G60490, 2G35040, 2G39620, 3G51490, 3G53180, 4G01570, 4G05090, 4G33410, 5G04710, 5G08030, 5G14510, 5G15880, 5G44000, 5G51540, 5G53000
S0552sl 	0.02142	113	4757, 5200, 4889, 6376, 6532, 5318, 7141, 6498, 6487, 6034, 5220, 5463, 6859, 4527, 5562, 6265, 6258, 5899, 6496, 6825, 6909, 5842, 5941, 6550, 5634, 5841, 6198, 5299, 6565, 5744, 6119, 4890, 6051, 5968, 6557, 5188, 5943, 6791, 5428, 4793, 5469, 5919, 5554, 5426, 5866, 5464, 6782, 5406, 5721, 7128, 6572, 1G02400, 1G06440, 1G13970, 1G21640, 1G50200, 1G52520, 1G52760, 1G55760, 1G63160, 1G65320, 1G66830, 1G75200, 1G80460, 2G04660, 2G17020, 2G17510, 2G21610, 2G39450, 2G39830, 2G39970, 2G40070, 2G40730, 2G40890, 2G47020, 3G01100, 3G07140, 3G11960, 3G17810, 3G17880, 3G17900, 3G20630, 3G51470, 3G52200, 3G53180, 3G54690, 3G56310, 3G56940, 3G61960, 4G01880, 4G02460, 4G10950, 4G20070, 4G21770, 4G29010, 4G31770, 4G33210, 4G33760, 4G34260, 5G04930, 5G11380, 5G12040, 5G13420, 5G17250, 5G22850, 5G35410, 5G36890, 5G39830, 5G40440, 5G49430, 5G54260, 5G58940, 5G65500
S0555 	0.08301	87	5200, 6780, 4889, 6176, 5206, 6450, 5434, 6298, 6270, 5894, 5335, 5347, 5660, 5422, 5859, 6036, 5428, 5919, 1G02860, 1G02970, 1G06270, 1G06950, 1G12470, 1G13970, 1G20560, 1G27760, 1G47380, 1G47670, 1G52760, 1G55270, 1G68570, 1G70260, 1G72970, 1G75200, 1G80410, 2G02560, 2G20190, 2G25660, 2G26780, 2G39730, 2G40070, 2G42490, 2G43770, 3G01100, 3G06270, 3G12610, 3G16270, 3G16910, 3G17810, 3G17900, 3G18290, 3G24170, 3G25660, 3G50660, 3G61960, 4G02730, 4G17090, 4G18340, 4G19180, 4G20050, 4G21680, 4G24190, 4G24740, 4G26750, 4G31540, 5G01360, 5G04930, 5G08530, 5G12900, 5G13030, 5G13640, 5G14950, 5G18580, 5G20270, 5G20350, 5G20890, 5G22030, 5G22510, 5G23300, 5G25230, 5G51150, 5G54690, 5G55960, 5G56290, 5G58230, 5G58430, 5G60020
S0558 	0.01171	37	5404, 6738, 5318, 5348, 6034, 5463, 6779, 5899, 6003, 6405, 6128, 5841, 5936, 6430, 4793, 5469, 5464, 1G20560, 1G60070, 1G68930, 1G70570, 1G79150, 2G04660, 2G18710, 3G48425, 3G53180, 3G54690, 4G09140, 4G35560, 5G08415, 5G15880, 5G36880, 5G36890, 5G38530, 5G52280, 5G56580, 5G63420
S0560 	0.1936	0	
S0562 	0.09808	12	5463, 5744, 6051, 5469, 1G10330, 2G31530, 3G54690, 3G61960, 4G21770, 4G29010, 5G08310, 5G12040
S0564sl 	0.01928	30	6933, 6016, 6992, 4691, 6387, 7313, 5463, 6506, 5562, 5513, 5430, 5865, 5032, 5977, 6038, 1G06950, 1G16770, 1G60070, 2G38280, 2G41700, 3G25430, 3G57610, 4G08920, 4G22720, 4G30600, 5G02480, 5G08310, 5G08530, 5G40405, 5G63840
S0577 	0.13133	9	6487, 5090, 5562, 2G02560, 3G24170, 3G50660, 4G05090, 5G20350, 5G22330
S0583 	0.20001	1	
S0590 	0.17262	2	6979, 3G12280
S0591 	0.04663	70	4757, 6072, 6393, 5502, 5318, 6450, 5960, 5913, 6048, 7241, 6114, 5326, 6298, 4802, 5945, 6500, 6265, 5821, 6550, 5980, 6679, 5299, 7577, 6460, 5744, 6462, 5354, 4793, 6746, 6284, 5551, 6379, 5721, 5257, 1G04910, 1G05960, 1G09870, 1G10330, 1G12150, 1G15980, 1G19025, 1G49820, 1G50940, 1G63700, 1G74680, 2G35040, 2G40890, 2G42700, 2G43770, 2G47790, 3G15550, 3G53180, 3G54690, 3G56370, 4G02730, 4G11120, 4G37030, 4G39470, 5G04710, 5G05680, 5G14210, 5G14510, 5G20170, 5G20350, 5G22030, 5G40820, 5G44000, 5G50320, 5G53000, 5G65500
S0593 	0.09798	7	5578, 6003, 5464, 5G08660, 5G20350, 5G22350, 5G49030
S0612 	0.05469	36	4757, 5318, 5348, 7111, 5910, 5463, 5434, 5477, 5990, 4527, 5899, 6003, 6955, 6198, 5328, 5744, 5188, 4793, 5469, 5464, 5296, 1G05910, 1G16070, 1G55910, 2G37370, 2G43770, 3G04480, 3G53180, 3G54690, 4G22720, 5G06940, 5G21970, 5G40820, 5G53320, 5G53970, 5G54570
S0613sl 	0.03952	43	4757, 5578, 7371, 6376, 6532, 6498, 5463, 4724, 6258, 6000, 6825, 6003, 6909, 5841, 5328, 5744, 6538, 4806, 5343, 5428, 4793, 6636, 5469, 5355, 1G07590, 1G08460, 1G09340, 1G09900, 1G65320, 1G65380, 1G67550, 2G29560, 2G40890, 3G04480, 3G54690, 4G01880, 4G21350, 4G22720, 4G32910, 4G33760, 5G53480, 5G58940, 5G63640
S0616 	0.03707	42	6620, 5200, 5921, 6034, 5220, 4954, 6460, 6483, 6570, 6552, 5791, 6274, 5551, 4951, 5406, 1G16570, 1G50200, 1G75200, 2G02560, 2G04660, 2G32290, 2G35040, 2G43770, 2G47020, 3G06483, 3G19810, 3G25660, 3G52200, 4G00910, 4G16570, 4G17370, 4G22720, 4G24220, 4G29810, 5G10900, 5G15880, 5G19130, 5G25230, 5G26570, 5G61400, 5G64270, 5G64370
S0617 	0.2323	0	
S0620 	0.04377	18	4527, 5899, 4989, 5188, 6295, 1G02970, 1G50940, 1G68740, 2G47790, 3G08960, 4G18340, 4G18830, 5G03430, 5G04710, 5G60750, 5G61400, 5G63010, 5G64270
S0624 	0.05864	48	4757, 6933, 6110, 4889, 5366, 5404, 5578, 4932, 6450, 6432, 5463, 5090, 5460, 6500, 6496, 5821, 6955, 5644, 5842, 7028, 5980, 5032, 5188, 6036, 5944, 5464, 1G06440, 1G15980, 1G61850, 1G68570, 2G04660, 2G26930, 2G37320, 2G47020, 3G03210, 3G29320, 4G02460, 4G05090, 4G24190, 4G28220, 4G31770, 4G35560, 4G35880, 5G02480, 5G18670, 5G46220, 5G53000, 5G63010
S0629-2 	0.04757	2	6003, 4942
S0641 	0.00966	43	4757, 5921, 5318, 5348, 6498, 6450, 6050, 5220, 5463, 5434, 5460, 6893, 6496, 6003, 6004, 5841, 5328, 5936, 5744, 5032, 6913, 4793, 5949, 5469, 6947, 5464, 1G52760, 1G68930, 2G17760, 2G24230, 2G37230, 3G14910, 3G48425, 3G52200, 3G53180, 3G54690, 4G02730, 4G22720, 4G24830, 5G08310, 5G14450, 5G22450, 5G58230
S0642 	0.14679	3	5064, 1G10780, 5G61865
S0643 	0.01642	97	4757, 4889, 5404, 6738, 5318, 7141, 6992, 6412, 6498, 5913, 6048, 6492, 6050, 5434, 5477, 5326, 5990, 6298, 5802, 5899, 5894, 6003, 6303, 6139, 6198, 6226, 6565, 5328, 5936, 5744, 6713, 6282, 7021, 4989, 5620, 5428, 5354, 4793, 5469, 6068, 5464, 6954, 5406, 6295, 1G02420, 1G10385, 1G30000, 1G33410, 1G49820, 1G50200, 1G51550, 1G58120, 1G60490, 2G15620, 2G35610, 2G35720, 2G39730, 2G43770, 2G46370, 3G01100, 3G01670, 3G04480, 3G11460, 3G15550, 3G17810, 3G17900, 3G23020, 3G27820, 3G47700, 3G53180, 3G54690, 3G55070, 4G00450, 4G02260, 4G03260, 4G04350, 4G20090, 4G22720, 4G24830, 4G27640, 4G29010, 4G34850, 5G02480, 5G05200, 5G13030, 5G20350, 5G26820, 5G36880, 5G40405, 5G40740, 5G41800, 5G48520, 5G48800, 5G50160, 5G51970, 5G58940, 5G63050
S0645sl 	0.02024	84	4889, 5404, 6376, 6848, 5664, 6450, 5599, 6492, 5463, 5434, 4954, 6298, 5357, 5335, 6496, 5821, 5644, 5421, 5018, 5842, 6550, 6004, 5980, 5841, 5430, 5858, 5815, 6130, 6282, 7021, 5032, 4793, 5949, 5853, 5822, 6947, 6284, 5554, 6797, 1G02970, 1G06440, 1G15980, 1G19860, 1G29690, 1G49820, 1G68570, 2G02560, 2G29050, 2G34640, 2G37230, 2G43770, 2G45500, 2G47020, 3G01060, 3G03380, 3G06530, 3G07420, 3G17830, 3G25430, 3G60830, 4G02460, 4G04970, 4G17090, 4G17370, 4G20070, 4G20090, 4G24190, 4G29810, 4G33945, 5G02480, 5G10900, 5G14210, 5G14230, 5G18670, 5G21990, 5G22510, 5G39710, 5G40405, 5G46070, 5G59900, 5G60020, 5G60750, 5G60790, 5G65500
S0647-2 	0.13861	2	2G35720, 3G49400
S0654 	0.07718	102	6110, 5200, 6780, 5138, 6979, 6050, 5434, 5990, 4527, 6270, 5945, 5894, 6164, 6003, 5941, 5430, 5859, 5958, 5815, 6570, 6036, 4806, 6883, 5428, 5271, 5296, 1G02970, 1G06270, 1G13970, 1G16570, 1G20560, 1G55250, 1G55270, 1G55480, 1G55760, 1G68830, 1G70260, 1G75200, 2G22120, 2G26780, 2G39730, 2G40070, 2G46890, 3G03210, 3G04480, 3G06270, 3G10030, 3G10230, 3G12280, 3G15550, 3G16270, 3G16910, 3G17900, 3G18290, 3G20240, 3G20260, 3G22170, 3G25430, 3G26700, 3G47400, 3G55070, 3G56370, 3G58520, 4G00910, 4G04640, 4G16570, 4G17370, 4G24190, 4G24830, 4G28220, 4G29310, 4G30600, 4G30790, 5G01360, 5G01380, 5G04550, 5G04930, 5G05200, 5G10900, 5G11390, 5G12900, 5G13420, 5G13640, 5G14450, 5G15400, 5G17230, 5G19180, 5G20270, 5G20890, 5G23300, 5G23340, 5G26570, 5G40405, 5G46070, 5G49810, 5G56290, 5G58230, 5G58430, 5G58940, 5G60020, 5G60600, 5G65990
S0655sl 	0.12387	26	6780, 6738, 6450, 6979, 5942, 5894, 6570, 6284, 1G10780, 1G16570, 1G55760, 2G21470, 2G26780, 2G26930, 2G35720, 2G43235, 4G16570, 4G34260, 5G01360, 5G01380, 5G08530, 5G12040, 5G16280, 5G20350, 5G26570, 5G36880
S0656sl 	0.03993	84	6933, 5177, 7141, 4471, 5206, 6498, 5702, 6492, 6034, 6859, 4527, 6366, 5945, 5357, 5899, 6496, 6825, 5821, 5454, 6439, 5644, 5018, 6550, 6004, 5858, 6460, 5744, 6570, 7367, 6036, 7628, 6883, 6430, 5656, 5949, 5940, 6947, 6284, 5926, 6797, 6318, 1G02860, 1G06440, 1G13970, 1G16570, 1G20080, 1G50200, 1G55150, 1G63660, 1G68830, 1G77405, 2G16880, 2G43770, 2G47020, 3G03380, 3G06270, 3G06810, 3G48820, 3G55160, 3G57180, 4G01570, 4G02260, 4G02460, 4G16570, 4G17090, 4G21350, 4G24190, 4G24830, 4G33080, 5G02270, 5G03430, 5G05200, 5G08280, 5G19730, 5G20990, 5G22750, 5G23340, 5G26570, 5G40405, 5G43920, 5G46070, 5G60020, 5G63420, 5G65500
S0657 	0.09128	51	6995, 6738, 6393, 5318, 6848, 7141, 6148, 6387, 5220, 4527, 5357, 6496, 6164, 6955, 5644, 7028, 6531, 6533, 5858, 7367, 5893, 6038, 5857, 5406, 1G07590, 1G27760, 1G47670, 1G55480, 1G61850, 2G46060, 2G47020, 3G03210, 3G03710, 3G06270, 3G07140, 3G48820, 3G52200, 3G53180, 3G57180, 4G01880, 4G02460, 4G02680, 4G05090, 4G20090, 4G33330, 4G37030, 5G08310, 5G11390, 5G20270, 5G62370, 5G64270
S0660sl 	0.11409	14	6110, 5434, 5477, 5427, 6274, 5355, 7296, 3G15380, 4G24220, 5G03430, 5G17230, 5G20270, 5G20350, 5G48270
S0662 	0.2273	0	
S0664 	0.20217	0	
S0667 	0.18524	1	
S0669 	0.20874	0	
S0670 	0.04724	45	4757, 4889, 6384, 5318, 5348, 6299, 5960, 7111, 5899, 6003, 6860, 5513, 6198, 5936, 5744, 5343, 6064, 4793, 6029, 5977, 6947, 4951, 6449, 5464, 1G05960, 1G52760, 1G55760, 1G67120, 2G04270, 2G26200, 2G26800, 2G26930, 3G06860, 3G53180, 4G20070, 4G24220, 4G33330, 5G22330, 5G39710, 5G45780, 5G49430, 5G52850, 5G54830, 5G63840, 5G64270
S0671 	0.09182	17	5318, 5348, 6148, 5434, 6460, 5744, 5469, 5464, 1G20080, 3G15550, 3G53180, 3G54690, 4G02460, 5G12470, 5G44240, 5G48520, 5G50170
S0672 	0.064	50	4757, 4889, 5404, 5578, 5318, 5280, 6498, 5913, 7363, 5463, 5434, 5945, 5357, 6003, 5842, 7028, 6405, 5841, 7577, 5936, 5744, 6886, 6064, 5354, 4793, 5853, 5940, 5469, 5464, 1G04970, 1G10240, 1G33410, 1G50120, 1G61850, 1G66830, 2G26930, 3G17830, 3G53180, 3G54690, 4G18950, 4G21350, 4G34260, 5G03070, 5G03430, 5G13030, 5G40740, 5G48520, 5G54570, 5G61400, 5G63860
S0673 	0.04737	29	4757, 6110, 5921, 6492, 7241, 5357, 5018, 5430, 5858, 6051, 6570, 4806, 5791, 5940, 5464, 1G16570, 2G35040, 3G03380, 3G25430, 3G48820, 4G16570, 4G24190, 4G24830, 4G29010, 4G39470, 5G26570, 5G60020, 5G62370, 5G64270
S0677 	0.04839	51	6933, 6384, 5318, 5280, 4471, 6498, 6048, 5870, 7363, 6050, 5463, 7572, 4527, 6500, 6439, 6128, 5299, 5469, 6284, 1G04110, 1G06590, 1G09870, 1G49820, 1G50200, 2G43235, 2G43890, 2G45500, 3G04480, 3G05350, 3G19630, 3G20630, 3G53180, 3G54690, 3G55580, 3G57180, 4G02990, 4G03020, 4G20060, 4G29010, 4G34350, 4G35870, 4G37030, 5G12470, 5G13630, 5G15300, 5G18700, 5G39710, 5G49070, 5G51970, 5G61560, 5G63840
S0688 	0.17203	0	
S0689 	0.03244	71	4757, 5404, 5578, 5318, 5348, 6992, 5280, 6238, 5162, 5357, 5427, 6689, 5842, 7028, 5841, 6226, 6041, 5865, 4890, 6320, 4989, 6447, 6685, 4793, 5977, 6947, 6507, 6782, 1G09870, 1G31360, 1G47380, 1G59980, 1G77405, 2G17020, 2G27500, 2G32590, 2G37310, 2G37370, 2G40760, 2G40890, 2G43770, 3G01060, 3G04340, 3G10700, 3G11964, 3G17900, 3G21720, 3G22980, 3G23020, 3G48820, 3G49400, 3G53180, 4G17370, 4G20060, 4G20090, 4G21350, 4G22720, 4G26090, 4G30490, 4G33760, 4G35560, 4G37030, 5G40480, 5G46070, 5G47040, 5G49830, 5G53000, 5G60020, 5G61400, 5G63010, 5G63920
S0690 	0.0126	92	4757, 5366, 7602, 5404, 6738, 5816, 6393, 5318, 6498, 5913, 7111, 6864, 6050, 5463, 5434, 6859, 5477, 4954, 5990, 5460, 6258, 5357, 5899, 6164, 6825, 6003, 5821, 6139, 7583, 6785, 6004, 5430, 6198, 6226, 6977, 5328, 6875, 6282, 6320, 4989, 6557, 5354, 4793, 5469, 4951, 5857, 5464, 5257, 5296, 1G02860, 1G06950, 1G09010, 1G33410, 1G50200, 1G55250, 1G60490, 2G21470, 2G30520, 2G38510, 2G43770, 3G03210, 3G04480, 3G11460, 3G16910, 3G19990, 3G25430, 3G50620, 3G53180, 3G54690, 3G56120, 4G20050, 4G24220, 4G24620, 4G24740, 4G24830, 5G03070, 5G04360, 5G08030, 5G08415, 5G13690, 5G15880, 5G18670, 5G19690, 5G20350, 5G21990, 5G22330, 5G35560, 5G39500, 5G40820, 5G49430, 5G49830, 5G51690
S0691 	0.12301	61	5366, 6979, 5434, 5347, 5858, 5859, 5958, 5936, 6570, 6036, 5857, 1G16570, 1G20560, 1G55250, 1G55270, 1G55760, 1G63700, 1G70260, 1G76400, 1G78280, 2G01070, 2G40070, 2G40730, 2G43770, 2G46370, 3G02570, 3G03210, 3G04740, 3G07140, 3G08950, 3G10230, 3G12280, 3G20240, 3G20260, 3G56370, 3G60830, 4G16570, 4G18340, 4G20050, 4G21680, 4G24610, 4G29310, 4G30490, 4G30790, 4G34260, 5G01360, 5G01380, 5G02810, 5G04550, 5G08280, 5G13020, 5G14450, 5G14950, 5G16310, 5G18670, 5G20890, 5G26570, 5G46070, 5G58430, 5G60600, 5G63050
S0717 	0.15902	6	1G02970, 2G46370, 4G21350, 4G30490, 5G20270, 5G20350
S0718 	0.0652	37	4889, 6376, 5318, 6459, 5477, 5899, 5941, 5841, 6198, 6679, 6460, 5328, 5744, 4890, 5188, 4793, 5469, 5464, 6782, 5296, 1G52760, 1G76730, 2G17760, 2G26170, 3G53180, 3G54690, 4G10020, 4G22720, 4G24620, 4G30490, 4G32430, 5G03070, 5G12040, 5G14510, 5G48520, 5G50160, 5G63010
