Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: none
None!
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0277 	0.11974	45	5318, 6979, 5264, 6000, 6003, 5859, 4806, 6068, 7128, 1G06260, 1G09870, 1G12330, 1G47380, 1G48880, 1G53270, 1G61850, 2G35040, 3G01460, 3G03210, 3G09090, 3G20260, 3G53180, 3G54790, 3G56120, 3G57610, 3G60830, 4G19180, 4G24610, 4G33330, 4G33440, 4G33760, 4G35560, 5G02810, 5G03430, 5G13630, 5G14510, 5G20350, 5G22450, 5G44240, 5G56290, 5G56580, 5G58230, 5G63050, 5G63410, 5G63770
S0278 	0.06281	20	6498, 5463, 6500, 6496, 5821, 5644, 5858, 5188, 4806, 6383, 1G20080, 1G68570, 2G47020, 3G01100, 4G02460, 4G17090, 4G17370, 4G24190, 5G12900, 5G46220
S0279 	0.11788	17	6148, 5463, 6164, 5919, 5464, 1G70260, 2G38000, 3G17880, 3G23020, 3G52970, 4G03020, 4G14940, 4G15420, 4G22720, 4G35760, 5G13560, 5G50160
S0280 	0.03461	53	4757, 5404, 5578, 5318, 6498, 6050, 6882, 5463, 5434, 5347, 6003, 5018, 5842, 5744, 4890, 4806, 6685, 4793, 5853, 6746, 5469, 5554, 5355, 5464, 6540, 5721, 1G04910, 1G09870, 1G10330, 1G21640, 1G31360, 1G49820, 1G49970, 2G04842, 2G16440, 2G35610, 2G43770, 3G07420, 3G13490, 3G49400, 3G53180, 3G54690, 4G01880, 4G04970, 4G17370, 4G21350, 4G35880, 5G02480, 5G07590, 5G15880, 5G35410, 5G58940, 5G64370
S0281 	0.04726	64	4757, 6620, 6780, 5502, 5318, 7141, 5138, 6459, 5273, 7279, 7324, 5870, 6034, 5463, 5842, 6958, 5841, 6679, 5936, 6051, 6961, 6733, 6746, 5469, 7333, 5464, 6295, 1G10330, 1G16070, 1G27752, 1G50200, 1G61850, 1G80460, 2G26200, 2G26780, 2G32590, 2G37230, 2G38000, 2G40860, 2G46370, 3G01150, 3G11460, 3G19990, 3G20630, 3G50620, 3G52970, 3G53180, 3G54690, 4G02260, 4G02460, 4G17380, 4G21350, 4G29810, 4G30490, 4G31770, 4G32910, 4G34350, 4G35870, 5G08490, 5G17530, 5G20350, 5G24240, 5G44240, 5G51750
S0282 	0.02042	74	4757, 4889, 5366, 5404, 6738, 6946, 5816, 4471, 6492, 5220, 6882, 5434, 5477, 5326, 6639, 5990, 5357, 5899, 6003, 6303, 5821, 5841, 5430, 6198, 6679, 6565, 5744, 6875, 4989, 6570, 6791, 6430, 5354, 4793, 5271, 5469, 5464, 5296, 1G14300, 1G16570, 1G33410, 1G50940, 1G55250, 1G60490, 2G21610, 2G35720, 2G43770, 3G03380, 3G04480, 3G11460, 3G22170, 3G25430, 3G44330, 3G52200, 3G54690, 3G55070, 4G10020, 4G16570, 4G20060, 4G24190, 4G24830, 5G19690, 5G20350, 5G21990, 5G24240, 5G26570, 5G39500, 5G40820, 5G47780, 5G49430, 5G51070, 5G54080, 5G60570, 5G63920
S0283 	0.04772	42	4757, 5578, 7174, 6498, 5913, 7067, 5910, 6882, 5434, 6506, 5899, 5821, 6533, 5858, 5815, 6130, 5744, 6051, 4793, 6373, 5940, 6449, 6954, 1G05910, 1G20560, 1G50200, 1G55910, 1G77405, 2G39620, 2G43770, 2G46060, 3G48820, 4G18950, 4G20060, 4G21350, 4G22720, 4G30490, 5G04710, 5G20350, 5G45900, 5G53970, 5G61865
S0284 	0.06312	75	6016, 5200, 6738, 6532, 5206, 6450, 7279, 5463, 6652, 5434, 6825, 6439, 5018, 5941, 5430, 5858, 6570, 6036, 5843, 6407, 6746, 6782, 1G04910, 1G06260, 1G06950, 1G09010, 1G16570, 1G48090, 1G65320, 1G68570, 1G75200, 1G80410, 2G21470, 2G30520, 2G32590, 2G35610, 2G39730, 2G39830, 2G42490, 3G02570, 3G03210, 3G05350, 3G10230, 3G12280, 3G18730, 3G20050, 3G24170, 3G25430, 3G56370, 3G57610, 4G02030, 4G16570, 4G17090, 4G19460, 4G20050, 4G24190, 5G04930, 5G05840, 5G08280, 5G08530, 5G19680, 5G19730, 5G20270, 5G20350, 5G20890, 5G22330, 5G26570, 5G36880, 5G38530, 5G46220, 5G47780, 5G57800, 5G58230, 5G60020, 5G63840
S0285 	0.15454	1	
S0286 	0.10483	17	5578, 4527, 5430, 5958, 5328, 6969, 6447, 1G49820, 1G69860, 2G33770, 2G39620, 2G43770, 3G17640, 3G25430, 3G56310, 5G19350, 5G35410
S0288 	0.0579	38	5449, 5554, 6295, 1G02970, 1G04110, 1G04910, 1G06950, 1G12150, 1G12330, 1G24610, 1G47380, 1G50940, 1G55590, 2G16880, 2G20050, 2G31530, 2G35040, 2G38000, 2G41190, 3G15380, 3G17810, 3G20260, 4G00910, 4G18830, 4G21770, 4G24190, 4G29810, 4G34260, 5G02270, 5G04710, 5G05680, 5G18580, 5G19180, 5G20350, 5G49070, 5G61400, 5G61865, 5G64270
S0289 	0.04233	35	4757, 6420, 6498, 5463, 6496, 6660, 6439, 5841, 5858, 6679, 5936, 5188, 6791, 6733, 4793, 6540, 5296, 1G02970, 1G09010, 2G47020, 3G01100, 3G03380, 3G06530, 4G16420, 4G16660, 4G24190, 4G31770, 4G36390, 5G08310, 5G16420, 5G19180, 5G23880, 5G40480, 5G60020, 5G60600
S0292 	0.0214	102	4757, 6933, 5200, 4889, 7602, 5404, 5578, 6384, 5318, 6406, 6498, 6450, 5138, 7111, 5910, 4724, 6000, 6363, 5899, 6496, 6003, 6860, 5644, 5842, 5922, 6533, 6128, 5841, 7273, 6679, 6460, 5936, 4890, 5968, 4796, 7628, 7029, 6064, 4793, 6636, 6488, 5949, 5469, 5822, 6947, 5944, 5551, 5464, 6954, 5406, 7296, 5721, 6318, 1G05910, 1G09870, 1G10330, 1G10385, 1G12470, 1G19025, 1G30010, 1G30440, 1G49970, 1G50200, 1G55910, 1G58120, 1G59980, 1G72280, 1G75200, 1G77405, 1G80460, 2G16880, 2G27590, 2G34960, 2G35040, 2G43770, 3G03210, 3G06860, 3G07140, 3G07420, 3G17900, 3G46220, 3G53150, 3G53180, 3G54690, 4G00550, 4G17380, 4G18950, 4G21350, 4G32430, 5G02270, 5G06120, 5G08415, 5G13420, 5G17250, 5G19680, 5G20990, 5G22330, 5G36890, 5G39500, 5G40440, 5G56580, 5G63840
S0293 	0.02045	100	4757, 5200, 5816, 6532, 5318, 6148, 6498, 6299, 5339, 6048, 6034, 7111, 5463, 5434, 5477, 6639, 6238, 6641, 5899, 6893, 6003, 5513, 5842, 6139, 5922, 6550, 5430, 6198, 6679, 6565, 6462, 6320, 6570, 5398, 5354, 4793, 6407, 6373, 5469, 6947, 5464, 6797, 6540, 5721, 6968, 1G02420, 1G04110, 1G14300, 1G16570, 1G55250, 1G55760, 1G58120, 1G61850, 1G65320, 1G68930, 1G75200, 1G76730, 1G78280, 2G20050, 2G26800, 2G35720, 2G41700, 2G43420, 2G43770, 3G04480, 3G11460, 3G22170, 3G25430, 3G53180, 3G54690, 3G56120, 3G60830, 4G00550, 4G00910, 4G16570, 4G19460, 4G20060, 4G21680, 4G21770, 4G22720, 4G24190, 4G29010, 4G29810, 4G39470, 5G02270, 5G12470, 5G19680, 5G19690, 5G20350, 5G26570, 5G26820, 5G39500, 5G40405, 5G40820, 5G41800, 5G47780, 5G52280, 5G60570, 5G62370, 5G65500
S0294 	0.12729	29	5200, 5131, 4942, 5328, 6886, 5857, 6507, 1G10385, 1G75200, 2G26690, 2G37320, 2G38500, 2G43770, 3G54860, 3G56370, 4G03020, 4G24190, 4G29310, 5G03280, 5G04550, 5G14510, 5G19640, 5G22330, 5G39500, 5G46070, 5G58430, 5G60570, 5G63050, 5G63860
S0297 	0.14508	3	2G46370, 3G17900, 5G48270
S0298 	0.11661	13	4757, 5318, 5842, 5464, 1G12330, 1G16070, 1G61600, 1G67840, 2G26930, 2G38510, 3G53180, 4G10020, 5G54080
S0299 	0.02214	79	6110, 5404, 5502, 5318, 5177, 6848, 4932, 6498, 5702, 7241, 5090, 6150, 5460, 5357, 6689, 6496, 5644, 5018, 7331, 5430, 5858, 5974, 6282, 5188, 6538, 6883, 5893, 6401, 5940, 6454, 6954, 6782, 5296, 1G02970, 1G10385, 1G20080, 1G55270, 1G65380, 1G68570, 1G68830, 1G70820, 1G79080, 2G04660, 2G16880, 2G37320, 2G38000, 2G43235, 3G03380, 3G03710, 3G11964, 3G16150, 3G19810, 3G20050, 3G25430, 3G53180, 3G56310, 3G57180, 4G02460, 4G05090, 4G17090, 4G19180, 4G24190, 4G31540, 4G31770, 5G06120, 5G08030, 5G14230, 5G18670, 5G19680, 5G40405, 5G46100, 5G46220, 5G51340, 5G53970, 5G58430, 5G60020, 5G60750, 5G63010, 5G64370
S0300 	0.13676	31	6110, 5562, 5958, 5857, 6631, 1G02400, 1G10385, 1G13970, 1G25570, 1G55270, 1G55480, 2G41190, 3G03210, 3G20240, 3G26670, 3G54690, 3G56370, 4G29310, 5G03280, 5G04550, 5G08280, 5G08660, 5G14230, 5G19680, 5G23050, 5G46070, 5G48270, 5G58430, 5G62130, 5G63050, 5G63860
S0301 	0.01881	76	4757, 5578, 6376, 5318, 5348, 5942, 6882, 5463, 5477, 6270, 5357, 5899, 6003, 6660, 6139, 7325, 6198, 6679, 6875, 7021, 5968, 5791, 5354, 4793, 5656, 5469, 4951, 5857, 5464, 5296, 1G02970, 1G04730, 1G06270, 1G14300, 1G31800, 1G33410, 1G50940, 1G55250, 1G58120, 1G60490, 2G35150, 2G35500, 2G35720, 2G38000, 2G39620, 2G43770, 3G04480, 3G06270, 3G08670, 3G13490, 3G16270, 3G19630, 3G19990, 3G22170, 3G48425, 3G53180, 3G54690, 3G55070, 4G10020, 4G14940, 4G16660, 4G17380, 4G17830, 4G21680, 4G35760, 5G08415, 5G20350, 5G22330, 5G22750, 5G39500, 5G40405, 5G40820, 5G41800, 5G49430, 5G56730, 5G64370
